"Neighbourhood","Neighbourhood Id","Combined Indicators","Drug Arrests","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Murders","Thefts","Arsons","Pop - Males","Pop - Females","Child 0-14","Youth 15-24","   Chinese","   South Asian","   Black","   Latin American","   Arab","   Unemployed"
"Agincourt North",129.0,"N/A",10.0,63.0,8.0,49.0,12.0,16.0,0.0,4.0,0.0,13910.0,15200.0,3840.0,3705.0,16460.0,5315.0,1340.0,170.0,275.0,1360.0
"Milliken",130.0,"N/A",12.0,62.0,0.0,67.0,25.0,34.0,0.0,11.0,2.0,12850.0,13720.0,3675.0,3195.0,18715.0,3080.0,1070.0,35.0,165.0,1160.0
"Rouge",131.0,"N/A",20.0,124.0,12.0,76.0,29.0,19.0,0.0,12.0,4.0,22475.0,24020.0,7960.0,6700.0,2100.0,20175.0,6525.0,495.0,395.0,2010.0
"Malvern",132.0,"N/A",14.0,228.0,16.0,65.0,54.0,36.0,4.0,7.0,1.0,21015.0,22780.0,7910.0,6620.0,3275.0,17465.0,8295.0,770.0,365.0,2335.0
"Centennial Scarborough",133.0,"N/A",1.0,38.0,0.0,18.0,11.0,5.0,0.0,1.0,0.0,6490.0,6875.0,2150.0,1850.0,710.0,2475.0,945.0,115.0,175.0,545.0
"Highland Creek",134.0,"N/A",6.0,50.0,12.0,34.0,7.0,8.0,0.0,1.0,0.0,6200.0,6300.0,1545.0,1925.0,955.0,4515.0,1550.0,205.0,85.0,565.0
"Morningside",135.0,"N/A",14.0,136.0,8.0,19.0,12.0,13.0,0.0,0.0,2.0,8465.0,9005.0,2880.0,2690.0,880.0,5155.0,3065.0,345.0,135.0,995.0
"West Hill",136.0,"N/A",54.0,325.0,18.0,72.0,56.0,14.0,0.0,7.0,5.0,13070.0,14320.0,4635.0,3950.0,685.0,5060.0,5835.0,555.0,115.0,1515.0
"Woburn",137.0,"N/A",39.0,293.0,32.0,78.0,58.0,31.0,1.0,16.0,5.0,25955.0,27520.0,9625.0,7660.0,3715.0,21545.0,5835.0,745.0,610.0,2665.0
"Eglinton East",138.0,"N/A",26.0,165.0,13.0,62.0,32.0,22.0,0.0,6.0,1.0,10650.0,12130.0,4180.0,3130.0,895.0,6490.0,4130.0,400.0,240.0,1155.0
"Scarborough Village",139.0,"N/A",28.0,149.0,13.0,34.0,22.0,9.0,6.0,2.0,1.0,7965.0,8765.0,3365.0,2360.0,390.0,5520.0,3330.0,280.0,140.0,980.0
"Guildwood",140.0,"N/A",4.0,36.0,8.0,17.0,8.0,4.0,0.0,1.0,0.0,4625.0,5290.0,1295.0,1065.0,275.0,815.0,625.0,120.0,30.0,395.0
